"","Cena","Stanje","Marka","Tip","Model","Godiste","Kilometraza","Kubikaza","kW","KS","Broj.cilindara","Menjac","Boja","Registracija","Poreklo","Ostecenje"
"3345",1000,"Polovan motor","Suzuki","Sport / Super sport","GSXF",1990,111,748,78,106,4," Manuelni"," Teget"," Nije registrovan","Domace tablice"," Nije ostecen"
"3352",5900,"Polovan motor","Suzuki","Sport / Super sport","gsx R 600",2008,19000,599,92,125,NA," Manuelni"," Plava"," 03.2017.","Domace tablice"," Nije ostecen"
"3354",3000,"Polovan motor","Suzuki","Sport / Super sport","GSX600R",2004,34000,600,88,120,4," Manuelni","Zuta"," Nije registrovan","Domace tablice"," Nije ostecen"
"3357",1250,"Polovan motor","Suzuki","Scooter","Burgman 250",2002,37700,250,17,23,1," Automatski"," Plava"," 05.2017.","Domace tablice"," Nije ostecen"
"3366",3400,"Polovan motor","Suzuki","Enduro / Cross","vstrom",2002,60000,1000,72,98,2," Manuelni"," Crna"," 06.2017.","Domace tablice"," Nije ostecen"
"3369",550,"Polovan motor","Suzuki","Scooter","Katana 49 AC",2000,27000,49,3,4,1," Automatski","Zuta"," Trajno registrovan","Domace tablice"," Nije ostecen"
"3371",1100,"Polovan motor","Suzuki","Naked","SV650",2001,30000,649,52,71,2," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"3376",600,"Polovan motor","Suzuki","Sport / Super sport","gsx 600 f",1988,675675,600,35,48,4," Manuelni"," Smeđa"," Nije registrovan","Domace tablice"," Nije ostecen"
"3385",1000,"Polovan motor","Suzuki","Naked","gs500E",1996,60000,500,35,48,2," Manuelni"," Crvena"," 04.2017.","Domace tablice"," Nije ostecen"
"3396",3600,"Polovan motor","Suzuki","Sport / Super sport","gsxr 1000 chip190ks opis",2003,1,998,140,190,4," Manuelni"," Crna"," 07.2015.","Domace tablice"," Nije ostecen"
"3404",2650,"Polovan motor","Suzuki","Scooter","burgman",2008,26942,400,25,34,NA," Automatski"," Bordo"," 07.2017.","Domace tablice"," Nije ostecen"
"3409",4500,"Polovan motor","Suzuki","Enduro / Cross","VStrom DL 650",2007,60000,645,49,67,2," Manuelni"," Plava"," 05.2017.","Domace tablice"," Nije ostecen"
"3415",1500,"Polovan motor","Suzuki","Enduro / Cross","800",1999,33432,800,29,40,1," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"3418",1200,"Polovan motor","Suzuki","Scooter","burgman",2003,19000,125,13,18,NA," Automatski",""," Nije registrovan","Domace tablice"," Nije ostecen"
"3426",550,"Polovan motor","Suzuki","Sport / Super sport","gsx 600 f",1989,45000,599,63,86,4," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"3427",2500,"Polovan motor","Suzuki","Sport / Super sport","gsxr 750 k2",2001,27797,749,103,140,4," Manuelni"," Siva"," 06.2017.","Domace tablice"," Nije ostecen"
"3430",1450,"Polovan motor","Suzuki","Chopper / Cruiser","Vx 800",1994,69175,805,47,64,2," Manuelni"," Bordo"," Nije registrovan","Domace tablice"," Nije ostecen"
"3439",2600,"Polovan motor","Suzuki","Sport / Super sport","gsxr 600",2003,37446,600,88,120,4," Manuelni"," Plava"," 01.2018.","Domace tablice"," Nije ostecen"
"3446",700,"Polovan motor","Suzuki","Enduro / Cross","DR",1992,34000,600,32,44,1," Manuelni"," Bela"," Nije registrovan"," Strane tablice"," Nije ostecen"
"3450",1700,"Polovan motor","Suzuki","Scooter","burgman",2003,28000,400,33,45,1," Automatski"," Siva"," 06.2017.","Domace tablice"," Nije ostecen"
"3457",3200,"Polovan motor","Suzuki","Naked","gsr",2006,30000,599,72,98,4," Manuelni"," Crna"," 03.2017.","Domace tablice"," Nije ostecen"
"3463",1400,"Polovan motor","Suzuki","Sport / Super sport","SV 650 R",2006,25000,645,55,75,2," Manuelni"," Plava"," 07.2017.","Domace tablice"," ostecen - u voznom stanju"
"3467",2299,"Polovan motor","Suzuki","Sport / Super sport","k3 600 za 1000cm noviji",2003,53000,600,100,136,4," Manuelni"," Crna"," 08.2017.","Domace tablice"," Nije ostecen"
"3469",1500,"Polovan motor","Suzuki","Sport / Super sport","gsxr",1995,45000,750,96,131,4," Manuelni",""," 03.2017.","Domace tablice"," Nije ostecen"
"3472",2499,"Polovan motor","Suzuki","Scooter","Burgman",2003,1,650,50,68,NA," Automatski",""," Nije registrovan"," Na ime kupca"," Nije ostecen"
"3491",3737,"Polovan motor","Suzuki","Sport / Super sport","GSXR 1000",2005,53000,988,125,170,4," Manuelni"," Plava"," 06.2017.","Domace tablice"," Nije ostecen"
"3500",900,"Polovan motor","Suzuki","Chopper / Cruiser","marauder 125",1999,9000,125,8,11,1," Manuelni"," Siva"," 08.2017.","Domace tablice"," Nije ostecen"
"3502",7500,"Polovan motor","Suzuki","Scooter","Burgman 650",2014,18000,638,41,56,2," Automatski"," Siva"," 05.2017.","Domace tablice"," Nije ostecen"
"3504",2799,"Polovan motor","Suzuki","Enduro / Cross","V Strom 1000",2002,35937,1000,71,97,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
