24.299 €,Nov motor,Bombardier,Chopper / Cruiser,SPYDER F3 T,2016. godište,0 km,Kubikaža (cm3) 1330,Snaga (kW/KS) 85/115,Broj cilindara 3,Menjač Automatski,Boja Crvena,Registrovan do Nije registrovan,Poreklo vozila Domaće tablice,nepoznato,Oštećenje Nije oštećen
4.847 €,Nov motor,Kawasaki,Sport / Super sport,ninja 300,2016. godište,0 km,Kubikaža (cm3) 296,Snaga (kW/KS) 29/39,Broj cilindara 2,Menjač Manuelni,Boja Zelena,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
750 €,Polovan motor,Ostalo,Scooter,renger 125,2008. godište,22.000 km,Kubikaža (cm3) 125,Snaga (kW/KS) 7/10,nepoznato,nepoznato,nepoznato,Registrovan do Nije registrovan,Poreklo vozila Domaće tablice,nepoznato,Oštećenje Nije oštećen
1.100 €,Nov motor,Peda,Scooter,GP 50,2017. godište,0 km,Kubikaža (cm3) 49,Snaga (kW/KS) 3/3,Broj cilindara 1,Menjač Automatski,nepoznato,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vazdušno hlađenje,Oštećenje Nije oštećen
1.080 €,Nov motor,Peda,Scooter,ET,2017. godište,0 km,Kubikaža (cm3) 49,Snaga (kW/KS) 3/3,Broj cilindara 1,Menjač Automatski,nepoznato,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vazdušno hlađenje,Oštećenje Nije oštećen
12.100 €,Nov motor,Yamaha,Scooter,T MAX 530A SX NOVITET,2017. godište,0 km,Kubikaža (cm3) 530,Snaga (kW/KS) 34/46,Broj cilindara 2,Menjač Automatski,nepoznato,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vazdušno hlađenje,Oštećenje Nije oštećen
12.990 €,Nov motor,Yamaha,Scooter,TMAX 530A DX NOVITET,2017. godište,0 km,Kubikaža (cm3) 530,Snaga (kW/KS) 34/46,Broj cilindara 2,Menjač Automatski,nepoznato,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
5.650 €,Nov motor,KTM,Naked,Duke 390 MY17,2017. godište,0 km,Kubikaža (cm3) 373,Snaga (kW/KS) 32/44,Broj cilindara 1,Menjač Manuelni,Boja Narandžasta,Registrovan do Nije registrovan,Poreklo vozila Domaće tablice,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
4.450 €,Nov motor,KTM,Naked,Duke 125 MY17,2017. godište,0 km,Kubikaža (cm3) 124,Snaga (kW/KS) 11/15,Broj cilindara 1,Menjač Manuelni,Boja Narandžasta,Registrovan do Nije registrovan,Poreklo vozila Domaće tablice,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
4.690 €,Nov motor,Asiawing,Enduro / Cross,LX450,2016. godište,0 km,Kubikaža (cm3) 450,Snaga (kW/KS) 33/45,Broj cilindara 1,Menjač Manuelni,Boja Bela,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
3.790 €,Nov motor,Asiawing,Enduro / Cross,NC250,2016. godište,0 km,Kubikaža (cm3) 250,Snaga (kW/KS) 21/29,Broj cilindara 1,Menjač Manuelni,Boja Bela,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
