Cena,Stanje,Tip,Godiste,Kilometraza,Kubikaza,kW,KS,BrojCilindara,Menjac,Boja,Registracija,Poreklo,Ostecenje
1300,Polovan motor,Scooter,2005,32000,200,14,19,1, Automatski, Srebrna, Registrovan,Domace tablice, Nije ostecen
1750,Nov motor,Moped,2017,0,49,3,4,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
8480,Polovan motor,Scooter,2015,8000,530,34,46,2, Automatski, Crna, Registrovan,Domace tablice, Nije ostecen
2300,Polovan motor,Sport / Super sport,2003,49000,600,85,116,, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
3850,Polovan motor,Naked,2007,42325,599,75,102,4, Manuelni, Zlatna, Registrovan,Domace tablice, Nije ostecen
1550,Polovan motor,Scooter,2004,37000,459,29,40,1, Automatski, Siva, Registrovan,Domace tablice, Nije ostecen
1350,Polovan motor,Enduro / Cross,1998,48563,650,48,65,1, Manuelni, Plava, Nije registrovan,Domace tablice, Nije ostecen
6700,Polovan motor,Touring,2009,45900,1298,106,144,4, Manuelni, Siva, Registrovan,Domace tablice, Nije ostecen
2300,Polovan motor,Scooter,2008,23674,244,17,23,1, Automatski, Crna, Registrovan,Domace tablice, Nije ostecen
1600,Polovan motor,Touring,1993,70000,850,28,38,2, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
10450,Nov motor,Naked,2017,0,847,85,115,3, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
6850,Nov motor,Naked,2017,0,689,55,75,2, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
8500,Nov motor,Chopper / Cruiser,2017,0,942,39,53,2, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
14300,Nov motor,Naked,2017,0,998,119,162,4, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
19700,Nov motor,Sport / Super sport,2017,0,998,147,200,4, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
3990,Nov motor,Scooter,2016,0,125,8,11,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
9390,Nov motor,Naked,2017,0,847,85,116,3, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
450,Polovan motor,Moped,1990,44444,50,4,5,1, Manuelni, Zelena, Trajno registrovan,Domace tablice, Nije ostecen
2450,Polovan motor,Scooter,2002,33000,650,41,56,2, Automatski, Teget, Registrovan,Domace tablice, Nije ostecen
600,Nov motor,Enduro / Cross,2017,0,200,17,23,1, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
650,Polovan motor,Scooter,2000,25000,125,9,12,, Automatski, Plava, Registrovan,Domace tablice, Nije ostecen
4200,Polovan motor,Chopper / Cruiser,2003,18270,750,33,45,2, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
1800,Polovan motor,Sport / Super sport,1993,62000,900,72,98,4, Manuelni,Zuta, Registrovan,Domace tablice, Nije ostecen
1790,Polovan motor,Sport / Super sport,2002,42000,749,55,75,4, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
1150,Polovan motor,Enduro / Cross,2008,12345,250,18,24,1, Manuelni, Crna, Nije registrovan, Strane tablice, Nije ostecen
1250,Polovan motor,Sport / Super sport,1994,30000,600,67,91,4, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
4700,Polovan motor,Chopper / Cruiser,2006,16000,805,40,54,4, Manuelni, Bordo, Nije registrovan,Domace tablice, Nije ostecen
520,Polovan motor,Scooter,2010,4629,150,8,11,1, Automatski, Crna, Nije registrovan,Domace tablice, Nije ostecen
1900,Polovan motor,Touring,1998,64980,850,59,80,2, Manuelni, Siva, Registrovan,Domace tablice, Nije ostecen
400,Polovan motor,Enduro / Cross,2002,220,49,24,33,, Manuelni,, Nije registrovan,Domace tablice, Nije ostecen
1800,Polovan motor,Chopper / Cruiser,2001,20500,125,10,14,2, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
699,Polovan motor,Combination / Sidecar,2004,26123,125,15,20,1, Automatski, Siva, Nije registrovan,Domace tablice, Nije ostecen
400,Polovan motor,Moped,2001,18000,49,3,4,, Automatski, Plava, Trajno registrovan,Domace tablice, Nije ostecen
700,Polovan motor,Scooter,2002,24000,49,3,4,1, Automatski, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
780,Polovan motor,Scooter,2003,43000,80,4,5,1, Automatski, Crvena, Registrovan,Domace tablice, Nije ostecen
630,Polovan motor,Scooter,2001,35000,152,9,12,2, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
6650,Polovan motor,Sport / Super sport,2007,24000,998,132,179,4, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
900,Polovan motor,Enduro / Cross,1992,348819,600,20,27,, Manuelni, Bela, Nije registrovan,Domace tablice, Nije ostecen
430,Polovan motor,Scooter,2000,10000,50,3,4,1, Automatski, Siva, Trajno registrovan,Domace tablice, Nije ostecen
1300,Polovan motor,Sport / Super sport,1996,75000,599,39,53,4, Manuelni, Bela, Nije registrovan,Domace tablice, Nije ostecen
1399,Polovan motor,Sport / Super sport,1989,24000,600,67,91,4, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
300,Polovan motor,Chopper / Cruiser,1990,1,50,2,3,1, Automatski, Plava, Nije registrovan, Strane tablice, Nije ostecen
4499,Polovan motor,Scooter,2012,25980,395,25,34,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
600,Nov motor,Enduro / Cross,2017,0,200,17,23,1, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
1370,Polovan motor,Naked,1997,46341,498,37,50,2, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
1600,Polovan motor,Sport / Super sport,1995,42700,900,104,141,4, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
1050,Polovan motor,Enduro / Cross,1991,32000,600,33,45,1, Manuelni, Plava, Nije registrovan, Strane tablice, Nije ostecen
1450,Polovan motor,Supermoto,1996,111111,652,31,42,1, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
2000,Polovan motor,Chopper / Cruiser,2010,11000,250,21,29,2, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
600,Polovan motor,Scooter,2006,20000,80,2,3,1, Automatski, Plava, Registrovan, Na ime kupca, ostecen - u voznom stanju
1000,Polovan motor,Sport / Super sport,1996,60000,600,75,102,4, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
