Cena,Stanje,Marka,Tip,Model,Godiste,Kilometraza,Kubikaza,kW,KS,Broj cilindara,Menjac,Boja,Registracija,Poreklo,Ostecenje
9940,Nov motor,Ducati,Naked,Monster 797,2017,0,803,55,75,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
14590,Nov motor,Ducati,Naked,Monster 1200,2017,0,1198,110,150,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
24990,Nov motor,Ducati,Touring,Multistrada Pikes Peak,2017,0,1198,118,160,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
12990,Nov motor,Ducati,Supermoto,Hypermotard,2017,0,937,83,113,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
14890,Nov motor,Ducati,Sport / Super sport,SuperSport,2017,0,937,83,113,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
13990,Nov motor,Ducati,Touring,Multistrada 950,2017,0,937,83,113,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
25999,Nov motor,Bombardier,Touring,SPYDER RT,2016,0,1330,85,115,3, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
28000,Polovan motor,Ducati,Sport / Super sport,Panigale 1199R,2013,1500,1199,135,184,2, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
3390,Nov motor,Piaggio,Scooter,MEDLEY 150 ABS,2017,0,150,11,15,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
3350,Nov motor,Piaggio,Scooter,Medley 150 ABS,2016,0,155,11,15,1, Automatski, Bela, Nije registrovan, Na ime kupca, Nije ostecen
4850,Nov motor,Aprilia,Scooter,SR MAX 300,2016,0,278,16,22,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
3150,Nov motor,Piaggio,Scooter,MADLEY 125i.e. ABS,2016,0,125,9,12,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
17499,Nov motor,Aprilia,Enduro / Cross,Caponord 1200 Rally,2016,0,1197,92,125,2, Manuelni,Zuta, Nije registrovan, Na ime kupca, Nije ostecen
2750,Nov motor,Piaggio,Scooter,Liberty 125 iGet ABS,2016,0,124,8,11,1, Automatski, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
10499,Nov motor,Vespa,Scooter,946 Emporio Armani AKCIJA,2016,0,124,8,11,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
4999,Nov motor,Piaggio,Scooter,Beverly 300 ABS,2016,0,278,16,22,1, Automatski, Bela, Nije registrovan, Na ime kupca, Nije ostecen
7840,Nov motor,Piaggio,Scooter,MP3 300 LT ABS/ASR,2016,0,278,17,23,1, Automatski, Bela, Nije registrovan, Na ime kupca, Nije ostecen
8740,Nov motor,Piaggio,Scooter,MP3 500 LT ABS/ASR,2016,0,493,29,40,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
